feature_ID	mz	rtime
126.0553968_277.3692229	126.0553968	277.3692229
126.0917513_55.48807501	126.0917513	55.48807501
126.0917938_278.6173769	126.0917938	278.6173769
126.102987_159.2864797	126.102987	159.2864797
126.5255611_126.9866245	126.5255611	126.9866245
126.9558441_245.4108356	126.9558441	245.4108356
126.9647043_209.4408089	126.9647043	209.4408089
126.9678835_253.8390305	126.9678835	253.8390305
126.9723698_193.0788808	126.9723698	193.0788808
126.9875872_173.7821633	126.9875872	173.7821633
127.0257014_88.77683523	127.0257014	88.77683523
127.0302124_147.4485574	127.0302124	147.4485574
127.0393957_273.5292236	127.0393957	273.5292236
127.0730755_267.2030825	127.0730755	267.2030825
127.0757288_275.3001438	127.0757288	275.3001438
127.0869518_74.14627883	127.0869518	74.14627883
127.1121434_266.5857386	127.1121434	266.5857386
127.5150389_145.8193964	127.5150389	145.8193964
127.9672397_221.8103168	127.9672397	221.8103168
127.9725366_242.6591676	127.9725366	242.6591676
128.0186931_111.8483852	128.0186931	111.8483852
128.0548339_172.8207107	128.0548339	172.8207107
128.0710311_234.5035858	128.0710311	234.5035858
128.0766138_156.4907307	128.0766138	156.4907307
128.1073629_234.0754646	128.1073629	234.0754646
128.1437628_62.71917654	128.1437628	62.71917654
128.3769442_190.1449554	128.3769442	190.1449554
128.9511425_229.2978777	128.9511425	229.2978777
128.9714787_274.2563515	128.9714787	274.2563515
129.0526037_282.9777162	129.0526037	282.9777162
129.0526173_82.85986924	129.0526173	82.85986924
129.0549828_272.1516187	129.0549828	272.1516187
129.0662675_127.095961	129.0662675	127.095961
129.091397_29.05759962	129.091397	29.05759962
129.0913989_273.3679838	129.0913989	273.3679838
129.1026367_165.4828522	129.1026367	165.4828522
129.110741_270.059114	129.110741	270.059114
129.1278193_259.6354088	129.1278193	259.6354088
129.5248277_160.8727728	129.5248277	160.8727728
129.9349644_140.1820548	129.9349644	140.1820548
129.9517008_273.1501803	129.9517008	273.1501803
129.9545216_272.4159021	129.9545216	272.4159021
129.9590631_156.7994761	129.9590631	156.7994761
129.9794639_196.0612202	129.9794639	196.0612202
130.0083949_261.2250679	130.0083949	261.2250679
130.0227693_127.6573934	130.0227693	127.6573934
130.0503277_120.8962321	130.0503277	120.8962321
130.0656121_95.99548004	130.0656121	95.99548004
130.0691703_139.8769489	130.0691703	139.8769489
130.0867211_146.2066909	130.0867211	146.2066909
130.097924_113.9955322	130.097924	113.9955322
130.1594617_98.7802258	130.1594617	98.7802258
130.5220973_149.4523544	130.5220973	149.4523544
130.5337412_139.1820928	130.5337412	139.1820928
130.9333554_87.42310341	130.9333554	87.42310341
130.9668555_229.6736451	130.9668555	229.6736451
130.9778107_223.161309	130.9778107	223.161309
131.0226463_154.3389615	131.0226463	154.3389615
131.0496262_101.2482652	131.0496262	101.2482652
131.0537083_126.4527719	131.0537083	126.4527719
131.0707447_277.3843514	131.0707447	277.3843514
131.0900606_150.6656219	131.0900606	150.6656219
131.1071036_271.8050118	131.1071036	271.8050118
131.1183337_78.21127541	131.1183337	78.21127541
131.1628252_51.08199581	131.1628252	51.08199581
131.5012958_88.10488564	131.5012958	88.10488564
131.5213019_162.8287391	131.5213019	162.8287391
131.5339368_145.4654787	131.5339368	145.4654787
131.5739607_166.8996792	131.5739607	166.8996792
131.9302383_144.487545	131.9302383	144.487545
131.9746573_205.0482915	131.9746573	205.0482915
132.0037431_160.1884665	132.0037431	160.1884665
132.0355901_148.7805347	132.0355901	148.7805347
132.0659826_122.7026967	132.0659826	122.7026967
132.0772188_115.5945853	132.0772188	115.5945853
132.1023188_101.4096375	132.1023188	101.4096375
132.1305027_98.92824803	132.1305027	98.92824803
132.5316762_146.4861619	132.5316762	146.4861619
132.930677_84.45970796	132.930677	84.45970796
132.9751685_219.8993146	132.9751685	219.8993146
133.0610451_124.2115466	133.0610451	124.2115466
133.0692498_132.3568462	133.0692498	132.3568462
133.0805602_118.1177163	133.0805602	118.1177163
133.0976085_166.2162962	133.0976085	166.2162962
133.1015969_265.1240798	133.1015969	265.1240798
133.1056957_100.6600941	133.1056957	100.6600941
133.1339681_188.177243	133.1339681	188.177243
133.927266_143.3367115	133.927266	143.3367115
133.9306432_265.8784593	133.9306432	265.8784593
133.9750051_243.4806284	133.9750051	243.4806284
134.0192644_115.760007	134.0192644	115.760007
134.0452414_120.5977938	134.0452414	120.5977938
134.0645799_125.559984	134.0645799	125.559984
134.0815767_118.1951715	134.0815767	118.1951715
134.0946166_168.0434415	134.0946166	168.0434415
134.1009409_165.5027969	134.1009409	165.5027969
134.1066025_99.80977154	134.1066025	99.80977154
134.1090087_99.85021065	134.1090087	99.85021065
134.1179742_120.9931774	134.1179742	120.9931774
135.003294_83.54354544	135.003294	83.54354544
135.0226794_116.2148989	135.0226794	116.2148989
135.0442553_254.7270593	135.0442553	254.7270593
135.0728464_266.636084	135.0728464	266.636084
135.0808657_273.3690735	135.0808657	273.3690735
135.1019263_244.707263	135.1019263	244.707263
135.1172407_266.7653333	135.1172407	266.7653333
135.1212836_105.1750357	135.1212836	105.1750357
135.1311247_262.9216534	135.1311247	262.9216534
135.9458065_282.6455882	135.9458065	282.6455882
135.9705364_257.9407582	135.9705364	257.9407582
135.9776541_117.3300594	135.9776541	117.3300594
136.0220294_258.9639757	136.0220294	258.9639757
136.0285947_136.2251432	136.0285947	136.2251432
136.0328743_192.8631281	136.0328743	192.8631281
136.0411106_172.4380073	136.0411106	172.4380073
136.048619_83.19977342	136.048619	83.19977342
136.0641695_127.3800956	136.0641695	127.3800956
136.0761674_265.7868701	136.0761674	265.7868701
136.0761865_100.9557775	136.0761865	100.9557775
136.1053745_245.5309354	136.1053745	245.5309354
136.1125682_64.65111902	136.1125682	64.65111902
136.5425561_183.8402002	136.5425561	183.8402002
137.000474_164.4267425	137.000474	164.4267425
137.0254055_30.05954069	137.0254055	30.05954069
137.0379553_170.9448435	137.0379553	170.9448435
137.0412767_159.8977135	137.0412767	159.8977135
137.0461269_63.64046758	137.0461269	63.64046758
137.0519769_71.99060553	137.0519769	71.99060553
